Site_ID,Site_Name,Date,ANC,pH,Cond,Temp,SO4,NO3,Cl,Ca,Mg,K,Na,SIO2
VT67,"East Fork of Chestnut Creek (lower)",1996-07-30,47.03,6.4,9.05,16,7.55,0.65,19.44,22.66,21.89,3.95,34.92,96.33
VT67,"East Fork of Chestnut Creek (lower)",1996-10-30,50.77,6.2,9.32,,11.66,0.65,19.49,20.16,21.81,7.01,35.4,96.71
VT67,"East Fork of Chestnut Creek (lower)",1997-01-28,38.14,6.2,10.22,7.2,23.59,0.62,25.74,22.61,24.94,6.01,35.4,78.6
VT67,"East Fork of Chestnut Creek (lower)",1997-05-07,46.42,6.4,8.83,9,15.09,0.62,19.09,19.76,22.55,5.01,31.01,80.79
VT67,"East Fork of Chestnut Creek (lower)",1997-07-22,61.68,6.4,10.41,16,6.61,0.63,20.01,24.5,24.69,5.38,36.01,99.14
VT67,"East Fork of Chestnut Creek (lower)",1997-10-31,54.61,6.3,9.86,12,10.16,0.67,19.49,20.21,20.9,7.67,36.75,101.8
VT67,"East Fork of Chestnut Creek (lower)",1998-04-27,43.19,6.2,9.18,14,14.83,0.62,19.78,19.56,21.97,5.11,30.18,75.13
VT67,"East Fork of Chestnut Creek (lower)",1998-07-22,59.25,6.4,9.49,20,6.07,1.3,20.73,22.31,22.88,4.48,34.97,96.32
VT67,"East Fork of Chestnut Creek (lower)",1999-01-25,32.18,6.0,10.64,6,29.27,0.96,22.74,23.5,26.01,6.93,28.96,71.07
VT67,"East Fork of Chestnut Creek (lower)",1999-04-28,54,6.3,10.72,10,17.02,0.84,19.46,28.19,26.34,6.38,34.1,84.13
VT67,"East Fork of Chestnut Creek (lower)",1999-07-30,61.37,6.3,10.22,19,8,1.36,20.33,27.89,26.34,5.01,36.45,95.65
VT67,"East Fork of Chestnut Creek (lower)",2000-04-25,38.14,6.1,9.57,9,21.13,0.74,18.69,22.71,25.18,5.64,29.53,74.6
VT67,"East Fork of Chestnut Creek (lower)",2000-07-25,51.58,6.4,8.07,15.5,1.74,0.74,17.19,18.41,21.32,3.82,31.31,92.22
VT67,"East Fork of Chestnut Creek (lower)",2000-10-31,63.39,6.6,9.89,9,7.85,0.68,19.38,22.46,22.63,7.99,37.23,104.1
VT67,"East Fork of Chestnut Creek (lower)",2001-01-26,44.81,6.3,9.77,2,18.99,0.74,19.84,21.66,20.58,5.35,36.27,92.26
VT67,"East Fork of Chestnut Creek (lower)",2001-04-27,49.86,6.4,9.57,13,14.3,0.73,19.44,21.61,20.9,5.19,35.53,90.6
VT67,"East Fork of Chestnut Creek (lower)",2001-07-25,49.96,6.6,10.05,16,12.77,0.79,19.09,26.35,24.53,5.01,35.97,94.74
VT67,"East Fork of Chestnut Creek (lower)",2001-10-25,59.96,6.4,11.1,13,12.48,0.74,21.82,24.3,25.18,11.6,36.18,99.59
VT67,"East Fork of Chestnut Creek (lower)",2002-01-25,34.41,6.1,10.26,6,26.62,0.79,19.98,23.25,24.2,6.67,32.14,79.18
VT67,"East Fork of Chestnut Creek (lower)",2002-04-29,45.72,6.4,9.38,13,15.45,0.8,19.12,21.01,21.15,5.64,35.18,85.87
VT67,"East Fork of Chestnut Creek (lower)",2002-07-25,55.72,6.3,10.87,16,16.05,0.8,19,30.89,25.35,6.61,36.05,95.5
VT67,"East Fork of Chestnut Creek (lower)",2002-10-28,52.48,6.4,9.98,13,19.16,0.66,21.13,27.3,25.76,8.8,37.01,95.63
VT67,"East Fork of Chestnut Creek (lower)",2003-01-29,42.28,6.3,8.89,2.5,16.18,0.71,21.13,19.91,20.25,4.58,34.97,89.16
VT67,"East Fork of Chestnut Creek (lower)",2003-04-28,38.95,6.2,8.71,,20.19,0.67,20.18,19.16,21.73,4.37,31.66,78.79
VT67,"East Fork of Chestnut Creek (lower)",2003-07-28,39.86,6.2,9,15,17.19,0.68,19.29,20.41,22.72,3.98,32.27,87.63
VT67,"East Fork of Chestnut Creek (lower)",2003-10-27,42.28,6.2,12.4,11.5,31.05,0.7,22,29.04,29.71,17.48,35.44,84.31
VT67,"East Fork of Chestnut Creek (lower)",2004-02-05,44.51,6.3,9.3,2.5,15.52,0.68,19.95,18.81,21.07,4.66,34.92,83.15
VT67,"East Fork of Chestnut Creek (lower)",2004-04-30,47.33,6.4,9.5,10.5,16.87,0.68,18.83,21.51,23.62,5.4,34.27,79.13
VT67,"East Fork of Chestnut Creek (lower)",2004-07-27,55.82,6.4,10.1,15.6,12.39,0.71,18.8,24.9,25.76,5.35,36.1,95.63
VT67,"East Fork of Chestnut Creek (lower)",2004-10-27,44.81,6.2,10,12.5,18.02,0.65,21.62,21.51,22.63,8.96,35.57,91.34
VT67,"East Fork of Chestnut Creek (lower)",2005-01-26,39.05,6.2,8.2,4.5,12.24,0.7,19.98,15.97,20.16,4.53,30.09,83.67
VT67,"East Fork of Chestnut Creek (lower)",2005-04-25,39.76,6.3,9,8.9,16.8,0.7,18.72,18.81,22.47,4.74,32.92,81.76
VT67,"East Fork of Chestnut Creek (lower)",2005-07-26,43.9,6.1,8.7,15,12.33,0.7,19.7,20.11,22.96,3.95,30.22,87.38
VT67,"East Fork of Chestnut Creek (lower)",2005-10-25,47.4,6.3,9.2,10,16.11,0,19.32,18.31,21.2,6.85,37.35,96.53
VT67,"East Fork of Chestnut Creek (lower)",2006-01-25,41.37,6.3,9.2,5,20.86,0,20,19.14,23.01,5.87,34.48,87.45
VT67,"East Fork of Chestnut Creek (lower)",2006-04-24,55.78,6.5,9.8,12,16.4,0,19.09,25.42,25.29,6.26,37.51,86.49
VT67,"East Fork of Chestnut Creek (lower)",2006-07-24,52.45,6.4,9.1,15.5,13.3,0,19.1,22.02,22.67,4.59,36.67,96.86
VT67,"East Fork of Chestnut Creek (lower)",2006-10-30,43.28,6.3,10.1,,26.14,0,19.35,21,25.13,8.26,35.29,91.42
VT67,"East Fork of Chestnut Creek (lower)",2007-01-25,36.12,6.4,9,,14.27,0,20.71,14.78,19.29,4.63,31.6,85.77
VT67,"East Fork of Chestnut Creek (lower)",2007-04-24,42.26,6.4,9.5,9,18.07,0,19.18,19.98,23.15,5.36,35.16,82.75
VT67,"East Fork of Chestnut Creek (lower)",2007-07-25,50.63,6.4,9.4,14,17.82,0,18.56,27.15,25.59,7.32,36.09,90.41
VT67,"East Fork of Chestnut Creek (lower)",2007-10-26,5.41,5.3,12.4,13.5,50.96,0.62,21.22,27.43,28.46,9.69,22.74,58.1
VT67,"East Fork of Chestnut Creek (lower)",2008-01-25,40.68,6.3,8.4,1,16.78,1.01,20.81,15.84,19.96,4.5,36.21,95.1
VT67,"East Fork of Chestnut Creek (lower)",2008-04-25,38.31,6.4,9.5,11,20.54,0.98,20.27,18.96,23,5.5,34.89,85.09
VT67,"East Fork of Chestnut Creek (lower)",2008-07-31,58.77,6.4,10.3,17,8.89,0.74,20.44,26.22,24.42,5.86,38.5,100.6
VT67,"East Fork of Chestnut Creek (lower)",2008-10-27,35.63,6.2,9.4,10,17.63,0,22,20.67,23.42,6.47,32.43,84.44
VT67,"East Fork of Chestnut Creek (lower)",2009-01-26,39.7,6.4,8.9,3,17.07,0,20.64,17.85,19.44,4.72,35.87,87.35
VT67,"East Fork of Chestnut Creek (lower)",2009-05-04,37.51,6.4,9.7,14.5,22.77,0,20.31,20.46,23.1,5.79,33.74,78.17
VT67,"East Fork of Chestnut Creek (lower)",2009-07-27,50.45,6.5,8.9,15,10.4,0,20.22,19.05,19.06,4.32,37.2,92.7
VT67,"East Fork of Chestnut Creek (lower)",2009-10-27,49.94,6.3,10.5,10,14.86,0,21.79,24.25,25.3,7.59,36.82,92.6
VT67,"East Fork of Chestnut Creek (lower)",2010-04-26,43.74,6.5,9.1,11,14.94,0,19.23,17.14,20.09,5.21,34.16,82.2
VT67,"East Fork of Chestnut Creek (lower)",2010-07-26,59.96,6.3,10.2,20,7.25,0,20.3,21.61,21.93,5.52,40.28,99.01
VT67,"East Fork of Chestnut Creek (lower)",2010-10-26,60.22,6.3,11.4,13,13.03,1.21,23.57,23.46,28.3,14.2,39.01,98.97
VT67,"East Fork of Chestnut Creek (lower)",2011-01-31,46.03,6.3,9.8,3.5,17.7,0.26,21.95,19.36,20.11,6.04,41.25,89.16
VT67,"East Fork of Chestnut Creek (lower)",2011-04-27,38.59,6.3,9.4,13,15.05,0.24,24.89,18.21,21.48,6.92,36.12,80.85
VT67,"East Fork of Chestnut Creek (lower)",2011-07-25,53.07,6.3,9.9,18,9.96,0,21.09,22.3,22.7,6.37,37.84,97.25
VT67,"East Fork of Chestnut Creek (lower)",2011-10-25,42.35,6.4,9.8,10,18.23,0,20.83,19.23,21.14,7.21,38.69,95.07
